dataset,acc,mdl_name,acc1,mdl_name1,acc2,mdl_name2
BirdChicken,0.9,BirdChicken_4_0.0001_2_64_8_0.900.mdl,0.85,BirdChicken_4_0.0001_2_64_8_0.850_1.mdl,0.85,BirdChicken_4_0.0001_2_64_8_0.850_2.mdl
Adiac,0.710997442455243,Adiac_4_0.0001_2_64_8_0.711.mdl,0.6649616368286445,Adiac_8_0.0001_2_128_8_0.665_2.mdl,0.6854219948849105,Adiac_8_0.0001_2_128_8_0.685_3.mdl
ACSF1,0.79,ACSF1_4_0.0001_2_64_8_0.790.mdl,0.75,ACSF1_4_0.0001_2_64_8_0.750_5.mdl,0.75,ACSF1_4_0.0001_2_64_8_0.750_10.mdl
BME,1.0,BME_4_0.0001_2_64_8_1.000.mdl,0.96,BME_4_0.0001_2_64_8_0.960_2.mdl,0.9933333333333332,BME_4_0.0001_2_64_8_0.993_3.mdl
ArrowHead,0.7771428571428571,ArrowHead_8_0.0001_2_128_8_0.777.mdl,0.76,ArrowHead_8_0.0001_2_128_8_0.760_2.mdl,0.7371428571428571,ArrowHead_8_0.0001_2_128_8_0.737_4.mdl
Crop,0.7086309523809524,Crop_64_0.0001_3_128_8_0.709.mdl,0.6601190476190476,Crop_64_0.0001_3_128_8_0.660_1.mdl,0.6688690476190476,Crop_64_0.0001_3_128_8_0.669_2.mdl
Beef,0.7333333333333333,Beef_4_0.0001_2_64_8_0.733.mdl,0.7,Beef_4_0.0001_2_64_8_0.700_3.mdl,0.7,Beef_4_0.0001_2_64_8_0.700_7.mdl
Car,0.9,Car_8_0.0001_2_128_8_0.900.mdl,0.85,Car_8_0.0001_2_128_8_0.850_6.mdl,0.85,Car_8_0.0001_2_128_8_0.850_10.mdl
ChlorineConcentration,0.7572916666666667,ChlorineConcentration_8_0.0001_2_128_8_0.757.mdl,0.7145833333333333,ChlorineConcentration_8_0.0001_2_128_8_0.715_2.mdl,0.71328125,ChlorineConcentration_8_0.0001_2_128_8_0.713_3.mdl
CinCECGTorso,0.8898550724637682,CinCECGTorso_8_0.0001_2_128_8_0.890.mdl,,,,
Computers,0.684,Computers_16_0.0001_3_64_8_0.684.mdl,0.648,Computers_16_0.0001_3_64_8_0.648_2.mdl,0.652,Computers_16_0.0001_3_64_8_0.652_3.mdl
PowerCons,1.0,PowerCons_64_0.0001_2_128_8_1.000.mdl,0.95,PowerCons_64_0.0001_2_128_8_0.950_1.mdl,0.95,PowerCons_64_0.0001_2_128_8_0.950_2.mdl
Ham,0.8476190476190476,Ham_128_0.0001_3_256_8_0.848.mdl,0.8095238095238095,Ham_128_0.0001_3_256_8_0.810_2.mdl,0.8,Ham_128_0.0001_3_256_8_0.800_11.mdl
CricketX,0.6794871794871795,CricketX_4_0.0001_2_64_8_0.679.mdl,0.6358974358974359,CricketX_4_0.0001_2_64_8_0.636_1.mdl,0.6410256410256411,CricketX_4_0.0001_2_64_8_0.641_2.mdl
SmoothSubspace,0.9933333333333332,SmoothSubspace_64_0.0001_2_256_8_0.993.mdl,0.9466666666666668,SmoothSubspace_64_0.0001_2_256_8_0.947_1.mdl,0.9466666666666668,SmoothSubspace_64_0.0001_2_256_8_0.947_2.mdl
UMD,1.0,UMD_64_0.0001_2_128_8_1.000.mdl,0.9722222222222222,UMD_64_0.0001_2_128_8_0.972_1.mdl,0.9652777777777778,UMD_64_0.0001_2_128_8_0.965_2.mdl
Haptics,0.487012987012987,Haptics_64_0.0001_2_256_8_0.487.mdl,,,,
