dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.75,0.22,0.1,0.15,0.17,0.12,0.12,0.1,0.14,0.11
Adiac,0.6854219948849105,0.3682864450127877,0.0511508951406649,0.1994884910485933,0.1074168797953964,0.1074168797953964,0.1074168797953964,0.0204603580562659,0.0204603580562659,0.0767263427109974
ArrowHead,0.7371428571428571,0.6228571428571429,0.2971428571428571,0.6228571428571429,0.1314285714285714,0.0971428571428571,0.0971428571428571,0.2857142857142857,0.3142857142857143,0.1657142857142857
Beef,0.7,0.6,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.3666666666666666,0.3333333333333333,0.1333333333333333
BeetleFly,0.9,0.65,0.5,0.35,0.25,0.25,0.25,0.5,0.6,0.25
BirdChicken,0.85,0.65,0.5,0.45,0.2,0.2,0.2,0.5,0.5,0.2
BME,0.9933333333333332,0.9866666666666668,0.78,0.6733333333333333,0.6533333333333333,0.6333333333333333,0.6333333333333333,0.7866666666666666,0.4666666666666667,0.4266666666666667
Car,0.85,0.5666666666666667,0.2333333333333333,0.2166666666666666,0.0666666666666666,0.0166666666666666,0.0166666666666666,0.2333333333333333,0.2166666666666666,0.0166666666666666
CBF,0.9111111111111112,0.9144444444444444,0.8866666666666667,0.81,0.3811111111111111,0.29,0.29,0.5355555555555556,0.4733333333333333,0.1133333333333333
Chinatown,0.932944606413994,0.6472303206997084,0.2740524781341107,0.9475218658892128,0.2361516034985422,0.2361516034985422,0.2361516034985422,0.2740524781341107,0.2740524781341107,0.2361516034985422
ChlorineConcentration,0.71328125,0.4713541666666667,0.23203125,0.5083333333333333,0.15078125,0.1317708333333333,0.1317708333333333,0.47890625,0.3861979166666666,0.16484375
Coffee,1.0,1.0,0.8928571428571429,0.3214285714285714,0.4642857142857143,0.1785714285714285,0.1785714285714285,0.5714285714285714,0.5357142857142857,0.4285714285714285
Computers,0.652,0.656,0.676,0.636,0.588,0.572,,0.652,0.632,0.56
CricketX,0.6410256410256411,0.482051282051282,0.2538461538461538,0.3512820512820512,0.1487179487179487,0.1358974358974359,0.1358974358974359,0.141025641025641,0.1076923076923077,0.1025641025641025
CricketY,0.6025641025641025,0.4743589743589743,0.3102564102564102,0.4102564102564102,0.1564102564102564,0.0948717948717948,,0.1615384615384615,0.2205128205128205,0.0358974358974358
CricketZ,0.6615384615384615,0.5461538461538461,0.3282051282051282,0.4076923076923077,0.1282051282051282,0.1307692307692307,0.1307692307692307,0.2615384615384615,0.2538461538461538,0.0717948717948717
Crop,0.6688690476190476,0.2923214285714285,0.2539880952380952,0.2651190476190476,0.2117857142857143,0.1639880952380952,0.164047619047619,0.1764880952380952,0.1588095238095238,0.0799404761904761
DiatomSizeReduction,0.9215686274509804,0.7712418300653595,0.1437908496732026,0.4673202614379085,0.2712418300653594,0.2483660130718954,0.2483660130718954,0.2549019607843137,0.1764705882352941,0.0947712418300653
DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.6330935251798561,0.4244604316546763,0.7769784172661871,0.3669064748201439,0.3669064748201439,0.3669064748201439,0.7194244604316546,0.7122302158273381,0.3669064748201439
DistalPhalanxOutlineCorrect,0.7572463768115942,0.6847826086956522,0.4166666666666667,0.8297101449275363,0.1557971014492753,0.1376811594202898,0.1376811594202898,0.4166666666666667,0.4166666666666667,0.0942028985507246
DistalPhalanxTW,0.7050359712230215,0.5323741007194245,0.2949640287769784,0.460431654676259,0.2517985611510791,0.1151079136690647,0.1151079136690647,0.1294964028776978,0.4460431654676259,0.0647482014388489
Earthquakes,0.7841726618705036,0.7841726618705036,0.7482014388489209,0.7338129496402878,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7482014388489209,0.7482014388489209,0.7266187050359713
ECG200,0.86,0.81,0.74,0.47,0.31,0.3,0.3,0.37,0.37,0.11
ECG5000,0.8931111111111111,0.8848888888888888,0.6262222222222222,0.5837777777777777,0.8377777777777777,0.8008888888888889,,0.5837777777777777,0.5837777777777777,0.5708888888888889
ECGFiveDays,0.8745644599303136,0.8524970963995354,0.7584204413472706,0.9605110336817654,0.1509872241579558,0.1161440185830429,0.1161440185830429,0.4970963995354239,0.4970963995354239,0.008130081300813
ElectricDevices,0.69303592270782,0.5440280119310077,0.5403968356892751,0.5588120866294903,0.4566204123978731,0.4182336921281286,0.4182336921281286,0.4292569057191026,0.268188302425107,0.4459862534042277
FaceAll,0.7142011834319527,0.5964497041420118,0.3230769230769231,0.4260355029585799,0.1420118343195266,0.0775147928994082,,0.0331360946745562,0.0337278106508875,0.0100591715976331
FaceFour,0.9431818181818182,0.8409090909090909,0.4659090909090909,0.7272727272727273,0.4886363636363636,0.3636363636363636,,0.4431818181818182,0.3409090909090909,0.125
FacesUCR,0.8141463414634146,0.7380487804878049,0.413170731707317,0.6858536585365854,0.2356097560975609,0.1346341463414634,0.1346341463414634,0.1160975609756097,0.1478048780487804,0.0463414634146341
FiftyWords,0.6835164835164835,0.4593406593406593,0.2835164835164835,0.4065934065934066,0.1032967032967032,0.0945054945054945,0.0945054945054945,0.2043956043956044,0.1054945054945055,0.1186813186813186
Fish,0.7714285714285715,0.6057142857142858,0.1771428571428571,0.36,0.1885714285714285,0.1314285714285714,0.1314285714285714,0.1257142857142857,0.1542857142857142,0.16
FreezerRegularTrain,0.9470175438596492,0.8168421052631579,0.8424561403508772,0.6494736842105263,0.1526315789473684,0.123859649122807,0.123859649122807,0.4028070175438596,0.5343859649122807,0.1259649122807017
Fungi,0.8709677419354839,0.7365591397849462,0.4301075268817204,0.521505376344086,0.3655913978494624,0.2204301075268817,0.2204301075268817,0.0806451612903225,0.0806451612903225,0.2903225806451613
GunPoint,0.9133333333333332,0.5533333333333333,0.4933333333333333,0.6866666666666666,0.3733333333333333,0.24,0.24,0.4933333333333333,0.4933333333333333,0.4533333333333333
GunPointAgeSpan,0.9588607594936708,0.5759493670886076,0.4936708860759494,0.5917721518987342,0.4936708860759494,0.4936708860759494,0.4936708860759494,0.5632911392405063,0.3765822784810126,0.4936708860759494
GunPointMaleVersusFemale,0.971518987341772,0.7626582278481012,0.7879746835443038,1.0,0.4620253164556962,0.4177215189873418,0.4177215189873418,0.7151898734177216,0.7341772151898734,0.4272151898734177
GunPointOldVersusYoung,0.9873015873015872,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.5238095238095238
Ham,0.8,0.7523809523809524,0.5523809523809524,0.6857142857142857,0.1333333333333333,0.1047619047619047,,0.5142857142857142,0.5142857142857142,0.238095238095238
Herring,0.6875,0.65625,0.59375,0.59375,0.15625,0.15625,0.15625,0.59375,0.59375,0.53125
InsectEPGRegularTrain,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,,0.8313253012048193,0.8313253012048193,0.8313253012048193
InsectEPGSmallTrain,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,,0.5261044176706827,0.5261044176706827,0.5261044176706827
