dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
ArticularyWordRecognition,0.96,0.657,0.297,0.603,0.11,0.033,0.033,0.8366,0.81,0.01,0.9266666666666666,0.8233333333333334,0.3833333333333333,0.68,0.0833333333333333,0.0666666666666666,0.0666666666666666,0.7833333333333333,0.7266666666666667,0.0166666666666666,0.9133333333333332,0.7733333333333333,0.3666666666666666,0.5533333333333333,0.0466666666666666,0.0333333333333333,0.0333333333333333,0.7633333333333333,0.77,0.02
BasicMotions,1.0,0.925,0.95,0.925,0.35,0.225,0.225,0.875,0.825,0.225,0.975,0.975,0.9,0.975,0.475,0.4,0.4,0.825,0.675,0.325,0.95,1.0,0.9,0.95,0.475,0.45,0.45,0.625,0.675,0.35
CharacterTrajectories,0.992,0.552,0.457,0.415,0.214,0.069,0.069,0.633,0.4422,0.002,0.9561281337047354,0.6079387186629527,0.6928969359331476,0.596100278551532,0.3523676880222841,0.3126740947075209,0.3126740947075209,0.7841225626740947,0.8635097493036211,0.1211699164345403,0.9658774373259053,0.5766016713091922,0.729108635097493,0.5278551532033426,0.3495821727019498,0.3286908077994429,0.3286908077994429,0.9254874651810584,0.8802228412256268,0.1699164345403899
Cricket,1.0,0.5,0.194,0.556,0.222,0.083,0.083,0.7638,0.7361,0.042,0.9583333333333334,0.6944444444444444,0.25,0.4444444444444444,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.6527777777777778,0.8611111111111112,0.0972222222222222,0.9583333333333334,0.7222222222222222,0.1944444444444444,0.6666666666666666,0.2916666666666667,0.1527777777777778,0.1527777777777778,0.8333333333333334,0.8055555555555556,0.1111111111111111
ERing,0.93,0.737,0.311,0.83,0.263,0.141,0.141,0.733,0.7222,0.056,0.8851851851851852,0.7555555555555555,0.3259259259259259,0.7,0.3148148148148148,0.2296296296296296,0.2296296296296296,0.7111111111111111,0.6259259259259259,0.2,0.8888888888888888,0.7333333333333333,0.2444444444444444,0.6962962962962963,0.2740740740740741,0.1888888888888888,0.1888888888888888,0.6555555555555556,0.674074074074074,0.1222222222222222
Epilepsy,0.95,0.877,0.797,0.884,0.326,0.268,0.268,0.7753,0.6811,0.167,0.9057971014492754,0.8768115942028986,0.8043478260869565,0.8260869565217391,0.3405797101449275,0.3550724637681159,0.3550724637681159,0.7536231884057971,0.7536231884057971,0.3043478260869565,0.9057971014492754,0.8623188405797102,0.7318840579710145,0.8260869565217391,0.3260869565217391,0.3695652173913043,0.3695652173913043,0.782608695652174,0.7753623188405797,0.3188405797101449
FaceDetection,0.62,0.605,0.585,0.589,0.0,0.0,0.0,0.5547,0.5593,0.0,0.5717934165720772,0.5664018161180476,0.5385925085130534,0.5431328036322361,0.0,0.0,0.0,0.5258229284903518,0.5303632236095346,0.0,0.5709421112372304,0.5550510783200908,0.5425652667423383,0.52894438138479,0.0,0.0,0.0,0.5539160045402951,0.554199772985244,0.0
FingerMovements,0.62,0.55,0.48,0.55,0.0,0.0,0.0,0.48,0.53,0.0,0.57,0.51,0.54,0.59,0.0,0.0,0.0,0.61,0.59,0.01,0.57,0.48,0.49,0.56,0.0,0.0,0.0,0.52,0.53,0.0
Heartbeat,0.785,0.717,0.717,0.795,0.205,0.151,0.151,0.7463,0.7365,0.195,0.7463414634146341,0.7365853658536585,0.7560975609756098,0.7365853658536585,0.3463414634146341,0.3170731707317073,0.3170731707317073,0.7268292682926829,0.7268292682926829,0.4926829268292683,0.751219512195122,0.7268292682926829,0.7609756097560976,0.7219512195121951,0.5219512195121951,0.5219512195121951,0.5219512195121951,0.7219512195121951,0.7170731707317073,0.6097560975609756
JapaneseVowels,0.992,0.762,0.557,0.727,0.154,0.019,0.019,0.7243,0.6702,0.008,0.9432432432432432,0.8594594594594595,0.7297297297297297,0.7621621621621621,0.0378378378378378,0.0216216216216216,0.0216216216216216,0.3837837837837838,0.6027027027027027,0.0405405405405405,0.9432432432432432,0.8783783783783784,0.7216216216216216,0.7837837837837838,0.081081081081081,0.0324324324324324,0.0324324324324324,0.6972972972972973,0.6891891891891891,0.0351351351351351
