dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
ACSF1,0.79,0.32,0.11,0.18,0.18,0.15,0.150,0.21,0.18,0.15,0.75,0.43,0.2,0.24,0.2,0.16,0.16,0.29,0.26,0.24,0.75,0.36,0.1,0.21,0.16,0.15,0.15,0.18,0.22,0.11
Adiac,0.657,0.56,0.092,0.202,0.164,0.176,0.176,0.205,0.217,0.13,0.6649616368286445,0.5728900255754475,0.2327365728900255,0.258312020460358,0.1125319693094629,0.0792838874680307,0.0792838874680307,0.2250639386189258,0.1278772378516624,0.1253196930946291,0.6854219948849105,0.5703324808184144,0.0946291560102301,0.2941176470588235,0.1611253196930946,0.1406649616368286,0.1406649616368286,0.1202046035805626,0.1381074168797953,0.1457800511508951
ArrowHead,0.777,0.629,0.411,0.56,0.291,0.206,0.206,0.526,0.389,0.034,0.76,0.5942857142857143,0.5657142857142857,0.6,0.44,0.4285714285714285,0.4285714285714285,0.4971428571428571,0.4,0.4342857142857143,0.7371428571428571,0.7085714285714285,0.2571428571428571,0.6742857142857143,0.12,0.1085714285714285,0.1085714285714285,0.4971428571428571,0.3485714285714286,0.16
Beef,0.733,0.7,0.2,0.233,0.133,0.133,0.133,0.2,0.2,0.133,0.7,0.6,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6666666666666666,0.3333333333333333,0.1333333333333333,0.7,0.7,0.2,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6,0.3333333333333333,0.1333333333333333
BeetleFly,0.95,0.75,0.5,0.45,0.25,0.25,0.250,0.5,0.55,0.3,0.9,0.9,0.5,0.45,0.25,0.25,0.25,0.7,0.75,0.4,0.9,0.7,0.5,0.4,0.25,0.25,0.25,0.65,0.65,0.25
BirdChicken,0.9,0.85,0.5,0.5,0.5,0.5,0.500,0.5,0.5,0.5,0.85,0.8,0.5,0.4,0.35,0.35,0.35,0.75,0.75,0.35,0.85,0.85,0.5,0.5,0.3,0.3,0.3,0.6,0.65,0.3
BME,1.0,0.993,0.96,0.633,0.6,0.56,0.560,0.667,0.687,0.48,0.96,0.9066666666666666,0.8666666666666667,0.6666666666666666,0.6266666666666667,0.5066666666666667,0.5066666666666667,0.6533333333333333,0.52,0.5666666666666667,0.9933333333333332,0.9933333333333332,0.9133333333333332,0.7,0.7466666666666667,0.7133333333333334,0.7133333333333334,0.9933333333333332,0.66,0.7133333333333334
Car,0.9,0.817,0.217,0.266,0.2,0.167,0.167,0.717,0.433,0.233,0.85,0.8,0.5,0.5333333333333333,0.3666666666666666,0.3833333333333333,0.3833333333333333,0.6833333333333333,0.5666666666666667,0.2,0.85,0.8,0.25,0.2166666666666666,0.1166666666666666,0.0666666666666666,0.0666666666666666,0.6333333333333333,0.5,0.05
CBF,0.956,0.931,0.812,0.791,0.739,0.723,0.723,0.868,0.889,0.678,0.9122222222222224,0.8911111111111111,0.6833333333333333,0.8555555555555555,0.4144444444444444,0.4377777777777777,0.4377777777777777,0.6977777777777778,0.6688888888888889,0.3988888888888889,0.9111111111111112,0.9288888888888888,0.9366666666666666,0.9188888888888888,0.56,0.5177777777777778,0.5177777777777778,0.7366666666666667,0.6888888888888889,0.4722222222222222
Chinatown,0.98,0.965,0.708,0.988,0.633,0.539,0.539,0.472,0.274,0.656,0.9387755102040816,0.9067055393586004,0.5714285714285714,0.9446064139941692,0.3032069970845481,0.2303206997084548,0.2303206997084548,0.3177842565597668,0.358600583090379,0.1720116618075801,0.932944606413994,0.8309037900874635,0.2740524781341107,0.9416909620991254,0.2682215743440233,0.2682215743440233,0.2682215743440233,0.2740524781341107,0.2740524781341107,0.2682215743440233
ChlorineConcentration,0.757,0.61,0.263,0.622,0.129,0.106,0.106,0.585,0.549,0.176,0.7145833333333333,0.621875,0.2770833333333333,0.4322916666666667,0.18828125,0.15390625,0.15390625,0.4606770833333333,0.3484375,0.3393229166666666,0.71328125,0.6049479166666667,0.2541666666666666,0.5111979166666667,0.16328125,0.1473958333333333,0.1473958333333333,0.4986979166666667,0.4760416666666666,0.1778645833333333
