dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ArticularyWordRecognition,0.9323333333333332,0.8956666666666667,0.4988888888888889,0.6978888888888889,0.209,0.1887777777777777,0.1887777777777777,0.8743333333333334,0.8677777777777779,0.1245555555555555
BasicMotions,0.975,0.975,0.9833333333333334,0.975,0.6583333333333333,0.6333333333333333,0.6333333333333333,0.975,0.975,0.6499999999999999
CharacterTrajectories,0.9630018570102136,0.8056778087279479,0.9039805013927577,0.8426518105849583,0.5455636025998142,0.5236750232126277,0.5236750232126277,0.9605793871866296,0.9619721448467966,0.4291606313834726
Cricket,0.9722222222222224,0.9212222222222222,0.3195925925925926,0.6898148148148149,0.3426666666666667,0.199037037037037,0.199037037037037,0.9257777777777776,0.9442962962962964,0.1899629629629629
Epilepsy,0.9205314009661836,0.908367149758454,0.7777487922705313,0.8526376811594204,0.5096618357487923,0.5001642512077294,0.5001642512077294,0.8841256038647343,0.8815410628019323,0.4904202898550724
ERing,0.901358024691358,0.862827160493827,0.3876666666666666,0.8272592592592592,0.4420864197530864,0.3766666666666666,0.3766666666666666,0.8331728395061728,0.8357777777777778,0.2678148148148148
FaceDetection,0.5875785092697692,0.5855244040862656,0.5766375331063186,0.5677642830117291,0.0,0.0,0.0,0.5684256526674233,0.5716598562239879,0.0
FingerMovements,0.5866666666666666,0.5166666666666667,0.5233333333333333,0.5733333333333334,0.0,0.0,0.0,0.57,0.5666666666666668,0.0066666666666666
HandMovementDirection,0.4866486486486486,0.3827477477477477,0.2161351351351351,0.2026396396396396,0.009009009009009,0.0045045045045045,0.0045045045045045,0.4099279279279279,0.4232702702702702,0.0043333333333333
Heartbeat,0.7608536585365853,0.7528943089430894,0.7299430894308943,0.7510975609756096,0.3985284552845529,0.3789430894308943,0.3789430894308943,0.746390243902439,0.7447642276422765,0.5397560975609755
JapaneseVowels,0.9594954954954954,0.9332162162162162,0.8575405405405405,0.8892612612612613,0.3774504504504504,0.2828198198198198,0.2828198198198198,0.9171351351351352,0.920837837837838,0.3568468468468468
Libras,0.8482222222222222,0.725925925925926,0.4371851851851852,0.6147037037037038,0.3702222222222222,0.3482962962962962,0.3482962962962962,0.686962962962963,0.6239629629629629,0.2871481481481481
LSST,0.6158286023249527,0.5732746688294134,0.4987047850770478,0.5369280886726142,0.2786274668829413,0.2100497431738307,0.2100497431738307,0.493095971884293,0.4737585834009191,0.3000291970802919
MotorImagery,0.6066666666666666,0.58,0.5166666666666667,0.3966666666666666,0.0133333333333333,0.6066666666666666,0.6066666666666666,0.5466666666666667,0.5466666666666667,0.01
NATOPS,0.9204074074074072,0.888962962962963,0.8315555555555556,0.7075185185185185,0.3277407407407407,0.3147407407407407,0.3147407407407407,0.6572962962962964,0.6110000000000001,0.374
PEMS-SF,0.8534335260115608,0.8459132947976878,0.7358824662813102,0.5471541425818882,0.0654701348747591,0.0519094412331406,0.0519094412331406,0.5875356454720616,0.5800886319845857,0.0232678227360308
PenDigits,0.9614593100819516,0.7444663617305126,0.7354112826376977,0.716260148656375,0.4708724985706117,0.4820205831903945,0.4820205831903945,0.7580346864875166,0.7358892700590814,0.4014164284352963
RacketSports,0.835438596491228,0.7939298245614035,0.7939473684210526,0.7281754385964913,0.2871228070175438,0.2937017543859648,0.2937017543859648,0.7433333333333333,0.7433333333333333,0.245578947368421
SelfRegulationSCP1,0.8122855517633675,0.7918361774744028,0.6463242320819113,0.8942116040955632,0.2069237770193401,0.1843083048919226,0.1843083048919226,0.77367007963595,0.7759522184300341,0.2228725824800909
SelfRegulationSCP2,0.5554444444444444,0.5426296296296296,0.5333333333333333,0.4479999999999999,0.1556296296296296,0.1296666666666666,0.1296666666666666,0.5352592592592592,0.5443703703703703,0.161037037037037
UWaveGestureLibrary,0.8314166666666667,0.8135,0.7719999999999999,0.7989583333333332,0.317625,0.3342916666666666,0.3342916666666666,0.7801666666666667,0.7778749999999999,0.3636666666666666
