dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.7633333333333333,0.2066666666666666,0.13,0.1733333333333333,0.1433333333333333,0.12,0.12,0.1666666666666666,0.1233333333333333,0.1333333333333333
Adiac,0.6691278772378517,0.396312020460358,0.0519914748508098,0.182467178175618,0.0997527706734867,0.1005609548167092,0.1005609548167092,0.0578056265984654,0.0435370843989769,0.062926683716965
ArrowHead,0.7580476190476192,0.5524761904761905,0.4039523809523809,0.5904285714285714,0.2723333333333333,0.2382380952380952,0.2382380952380952,0.4057619047619047,0.3866190476190476,0.1904285714285714
Beef,0.9844444444444445,0.9422222222222222,0.7376666666666667,0.6444444444444445,0.6156666666666667,0.5511111111111111,0.5511111111111111,0.6043333333333333,0.4909999999999999,0.4822222222222223
BeetleFly,0.711,0.5887777777777777,0.2,0.2776666666666667,0.1332222222222222,0.1332222222222222,0.1332222222222222,0.2555555555555555,0.2444444444444444,0.1332222222222222
BirdChicken,0.9166666666666666,0.7000000000000001,0.5,0.3999999999999999,0.2333333333333333,0.2166666666666666,0.2166666666666666,0.5166666666666667,0.6166666666666666,0.3
BME,0.8666666666666667,0.7333333333333334,0.5,0.4333333333333333,0.3499999999999999,0.3499999999999999,0.3499999999999999,0.5,0.5,0.3
Car,0.9264444444444444,0.8611481481481481,0.706,0.7282222222222222,0.4177407407407407,0.3802962962962962,0.3802962962962962,0.5805925925925927,0.5164074074074073,0.3105185185185184
CBF,0.8666666666666667,0.6167777777777778,0.2998888888888888,0.3334444444444444,0.1778888888888888,0.15,0.15,0.3721111111111111,0.2278888888888889,0.1387777777777777
Chinatown,0.9505733722060252,0.7959931972789116,0.4169737609329445,0.9561554907677356,0.2089096209912535,0.1389096209912536,0.1389096209912536,0.2613401360544217,0.2779222546161321,0.1643177842565597
ChlorineConcentration,0.7282881944444445,0.474,0.2325277777777777,0.5041944444444444,0.1546631944444444,0.12953125,0.12953125,0.4283993055555555,0.40628125,0.2243611111111111
Coffee,0.988095238095238,0.9404761904761904,0.7143809523809524,0.4405714285714285,0.3927619047619048,0.2141904761904761,0.2141904761904761,0.5239047619047619,0.512,0.2975714285714285
Computers,0.6613333333333333,0.596,0.612,0.588,0.4733333333333333,0.4666666666666666,0.6613333333333333,0.5746666666666667,0.5906666666666667,0.5293333333333333
CricketX,0.6519743589743591,0.5075982905982906,0.2854273504273504,0.3495384615384615,0.1597948717948717,0.135034188034188,0.135034188034188,0.1504273504273504,0.1154615384615384,0.1119401709401709
CricketY,0.6161880341880343,0.4984529914529914,0.3735811965811965,0.430051282051282,0.1402051282051282,0.0957863247863247,0.6161880341880343,0.2214786324786325,0.1836581196581196,0.0742478632478632
CricketZ,0.6727948717948719,0.5562905982905982,0.3733760683760683,0.4521196581196581,0.1606666666666666,0.1522478632478631,0.1522478632478631,0.2298205128205127,0.2206324786324786,0.1411538461538461
Crop,0.679329365079365,0.3234523809523809,0.2832539682539682,0.2814880952380952,0.2233174603174602,0.1886269841269841,0.1886468253968253,0.2269206349206348,0.1878809523809523,0.1244246031746031
DiatomSizeReduction,0.9399803921568628,0.7724357298474946,0.2680653594771242,0.6142418300653595,0.2407625272331154,0.1273790849673202,0.1273790849673202,0.2886078431372548,0.2635533769063181,0.1765620915032679
DistalPhalanxOutlineAgeGroup,0.7482086330935251,0.6331175059952038,0.4196402877697842,0.7601894484412471,0.2974004796163069,0.2950671462829736,0.2950671462829736,0.6380143884892086,0.6475251798561151,0.3142709832134292
DistalPhalanxOutlineCorrect,0.765623188405797,0.7066038647342996,0.4914830917874396,0.8490483091787441,0.1643816425120772,0.1546763285024154,0.1546763285024154,0.4348164251207729,0.4167777777777777,0.3175120772946859
DistalPhalanxTW,0.70989448441247,0.5541199040767385,0.2925131894484412,0.5324892086330935,0.2925419664268585,0.2324604316546762,0.2324604316546762,0.3237242206235012,0.4772494004796163,0.1582374100719424
Earthquakes,0.8766666666666666,0.8166666666666668,0.7200000000000001,0.52,0.3866666666666667,0.3633333333333333,0.3633333333333333,0.51,0.5466666666666667,0.2333333333333333
ECG200,0.9083333333333332,0.902074074074074,0.8004074074074073,0.7851851851851851,0.817037037037037,0.7366666666666667,0.9083333333333332,0.6464444444444444,0.6073333333333334,0.5149259259259259
ECG5000,0.8904301200154858,0.8637619047619047,0.6536058846302749,0.6346747967479675,0.164001935733643,0.1574204413472705,0.1574204413472705,0.5151838946960897,0.5076562137049941,0.1102543554006968
ECGFiveDays,0.7867170263788968,0.7577913669064748,0.7144676258992805,0.7242733812949639,0.7145419664268585,0.7075419664268585,0.7075419664268585,0.7578009592326138,0.7601342925659473,0.6812086330935251
ElectricDevices,0.7110124497471145,0.5278840185017076,0.4853648467557169,0.5154152509402153,0.4752282021354774,0.4453114598193057,0.4453114598193057,0.4476822720788484,0.285162019625643,0.4675500367440452
FaceAll,0.7329704142011835,0.6305246548323472,0.2730315581854043,0.3359763313609467,0.1101084812623273,0.067516765285996,0.7329704142011835,0.0373155818540433,0.0332209072978303,0.0183451676528599
