dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.023094010767585,0.0556776436283002,0.055075705472861,0.03,0.02,0.0057735026918962,0.0057735026918962,0.0568624070307732,0.04,0.0665832811847939
Adiac,0.0146618763352427,0.0068246361854536,0.0805060598209488,0.0464376776696295,0.0289209718357209,0.048939090758375,0.048939090758375,0.0556601309010337,0.0487708296820876,0.0107202420591758
ArrowHead,0.0200001700673041,0.0585916921974252,0.1542859126982851,0.0579936660862412,0.1601259920604189,0.1640276233580484,0.1640276233580484,0.0166606791966149,0.0270812584239198,0.2046693700102879
Beef,0.0190525588832576,0.0577350269189625,3.399349888776296e-17,0.0385866029332192,0.0001924500897298,0.0001924500897298,0.0001924500897298,0.2523959264800121,0.07698003589195,0.0001924500897298
BeetleFly,0.0288675134594812,0.1040832999733066,0.0,0.0288675134594812,0.0,0.0,0.0,0.1040832999733066,0.0999999999999999,0.0763762615825973
BirdChicken,0.0288675134594813,0.0288675134594812,0.0,0.0577350269189625,0.1040832999733066,0.1040832999733066,0.1040832999733066,0.1258305739211791,0.1258305739211791,0.1040832999733066
BME,0.0214303350244287,0.0499410763911943,0.0466666666666666,0.0335001381976143,0.0781262036944308,0.1072898462628738,0.1072898462628738,0.1924752028280621,0.0896455985162313,0.1179453734196942
Car,0.0288675134594813,0.0098149545762235,0.1547460284896944,0.1703812717929344,0.1272937693043288,0.1618356505155084,0.1618356505155084,0.0420982096918534,0.0668334026045637,0.0975346092420531
CBF,0.0256018903623043,0.0224452695117877,0.1266719297152205,0.0639454178257155,0.1625647196221973,0.1471211952457394,0.1471211952457394,0.0891967815765871,0.1217191836596922,0.1446981248154339
Chinatown,0.0256504323013504,0.0672383110621504,0.2218838839343163,0.0259359151162449,0.201267112895764,0.1683450536484259,0.1683450536484259,0.103985724486538,0.0488290273383958,0.2562138319778872
ChlorineConcentration,0.0248736746168868,0.0086897000445024,0.0115581260495712,0.0953000084786464,0.0297614703465319,0.0259839993444594,0.0259839993444594,0.0637048153119025,0.1015144145427323,0.0937609061943299
Coffee,0.0206196524710579,0.0742996323957909,0.2430287768856968,0.1071428571428571,0.1486447621213827,0.0206196524710581,0.0206196524710581,0.1486447621213826,0.0413220304932082,0.2500919422769089
Computers,0.019731531449265,0.0402657836547773,0.0317490157327751,0.0515881123257416,0.0832346081867392,0.0748687740872877,0.019731531449265,0.0423949682548923,0.0161658075373095,0.036
CricketX,0.0235449267697809,0.0405034177122499,0.0429750933172677,0.0287125147484112,0.0111649321074246,0.0149888482178031,0.2643439528340986,0.0436901809201096,0.0679470875469611,0.016906810364063
CricketY,0.025849731810411,0.0169525837038561,0.0520317023508632,0.0447515458358799,0.0241901481967071,0.0271844254504286,0.025849731810411,0.0257884479945406,0.041431552302429,0.097178076574567
CricketZ,0.0264396525473474,0.0093019100967816,0.0503246092295286,0.0515954101321206,0.0568116044885057,0.0732271076318897,0.0732271076318897,0.0285940895857403,0.0522305048896297,0.0754074969634359
Crop,0.0260653133003461,0.0372821456004674,0.0327693213273786,0.0368078662689699,0.0233123701182247,0.0376169761585601,0.0376169761585601,0.0503179558773353,0.0407525236989157,0.0684401286481304
