dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.75,0.36,0.1,0.21,0.16,0.15,0.15,0.18,0.22,0.11
Adiac,0.6854219948849105,0.5703324808184144,0.0946291560102301,0.2941176470588235,0.1611253196930946,0.1406649616368286,0.1406649616368286,0.1202046035805626,0.1381074168797953,0.1457800511508951
ArrowHead,0.7371428571428571,0.7085714285714285,0.2571428571428571,0.6742857142857143,0.12,0.1085714285714285,0.1085714285714285,0.4971428571428571,0.3485714285714286,0.16
Beef,0.7,0.7,0.2,0.2333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.6,0.3333333333333333,0.1333333333333333
BeetleFly,0.9,0.7,0.5,0.4,0.25,0.25,0.25,0.65,0.65,0.25
BirdChicken,0.85,0.85,0.5,0.5,0.3,0.3,0.3,0.6,0.65,0.3
BME,0.9933333333333332,0.9933333333333332,0.9133333333333332,0.7,0.7466666666666667,0.7133333333333334,0.7133333333333334,0.9933333333333332,0.66,0.7133333333333334
Car,0.85,0.8,0.25,0.2166666666666666,0.1166666666666666,0.0666666666666666,0.0666666666666666,0.6333333333333333,0.5,0.05
CBF,0.9111111111111112,0.9288888888888888,0.9366666666666666,0.9188888888888888,0.56,0.5177777777777778,0.5177777777777778,0.7366666666666667,0.6888888888888889,0.4722222222222222
Chinatown,0.932944606413994,0.8309037900874635,0.2740524781341107,0.9416909620991254,0.2682215743440233,0.2682215743440233,0.2682215743440233,0.2740524781341107,0.2740524781341107,0.2682215743440233
ChlorineConcentration,0.71328125,0.6049479166666667,0.2541666666666666,0.5111979166666667,0.16328125,0.1473958333333333,0.1473958333333333,0.4986979166666667,0.4760416666666666,0.1778645833333333
Coffee,1.0,1.0,0.9285714285714286,0.3571428571428571,0.5357142857142857,0.2142857142857142,0.2142857142857142,0.75,0.5357142857142857,0.5
Computers,0.652,0.656,0.676,0.668,0.632,0.632,,0.644,0.648,0.608
CricketX,0.6410256410256411,0.6025641025641025,0.3871794871794872,0.4743589743589743,0.2153846153846154,0.2076923076923077,0.2076923076923077,0.3615384615384615,0.3153846153846154,0.1692307692307692
CricketY,0.6025641025641025,0.5512820512820513,0.4384615384615384,0.4871794871794871,0.2205128205128205,0.1846153846153846,,0.4051282051282051,0.3794871794871794,0.1333333333333333
CricketZ,0.6615384615384615,0.617948717948718,0.4102564102564102,0.4871794871794871,0.1743589743589743,0.1487179487179487,0.1487179487179487,0.4205128205128205,0.3923076923076923,0.1435897435897435
Crop,0.6688690476190476,0.4160119047619047,0.415,0.3761904761904762,0.3223809523809524,0.2900595238095238,0.2900595238095238,0.3716071428571428,0.332797619047619,0.2034523809523809
DiatomSizeReduction,0.9215686274509804,0.8366013071895425,0.2875816993464052,0.5326797385620915,0.3594771241830065,0.4705882352941176,0.4705882352941176,0.6013071895424836,0.545751633986928,0.238562091503268
DistalPhalanxOutlineAgeGroup,0.7338129496402878,0.7266187050359713,0.4244604316546763,0.762589928057554,0.3884892086330935,0.3884892086330935,0.3884892086330935,0.7194244604316546,0.7194244604316546,0.3741007194244604
DistalPhalanxOutlineCorrect,0.7572463768115942,0.7246376811594203,0.4384057971014493,0.8297101449275363,0.1992753623188405,0.1920289855072463,0.1920289855072463,0.4746376811594203,0.4166666666666667,0.1050724637681159
DistalPhalanxTW,0.7050359712230215,0.6258992805755396,0.316546762589928,0.4532374100719424,0.2949640287769784,0.1223021582733813,0.1223021582733813,0.6187050359712231,0.5899280575539568,0.2158273381294964
Earthquakes,0.7841726618705036,0.7841726618705036,0.7482014388489209,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7410071942446043,0.7410071942446043,0.7266187050359713
ECG200,0.86,0.82,0.73,0.59,0.44,0.46,0.46,0.64,0.59,0.32
ECG5000,0.8931111111111111,0.8922222222222222,0.6726666666666666,0.5886666666666667,0.8491111111111111,0.8195555555555556,,0.5837777777777777,0.5837777777777777,0.6135555555555555
ECGFiveDays,0.8745644599303136,0.8583042973286876,0.8304297328687572,0.9279907084785134,0.2090592334494773,0.1765389082462253,0.1765389082462253,0.4936120789779326,0.4936120789779326,0.0092915214866434
ElectricDevices,0.69303592270782,0.6005706134094151,0.5857865387109324,0.5983659706912203,0.5013616910906498,0.4769809363247309,0.4769809363247309,0.4418363376993904,0.3948904162884191,0.4867073012579432
FaceAll,0.7142011834319527,0.7017751479289941,0.58698224852071,0.6094674556213018,0.2532544378698225,0.2301775147928994,,0.2751479289940828,0.3272189349112426,0.1218934911242603
FaceFour,0.9431818181818182,0.9204545454545454,0.5568181818181818,0.7613636363636364,0.5340909090909091,0.4318181818181818,,0.5681818181818182,0.5113636363636364,0.375
FacesUCR,0.8141463414634146,0.7897560975609756,0.6317073170731707,0.7517073170731707,0.3619512195121951,0.3121951219512195,0.3121951219512195,0.4848780487804878,0.4863414634146341,0.2078048780487804
