dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ArticularyWordRecognition,0.9333333333333332,0.7512222222222222,0.349,0.6121111111111112,0.0799999999999999,0.0443333333333333,0.0443333333333333,0.7944222222222223,0.7688888888888888,0.0155555555555555
BasicMotions,0.975,0.9666666666666668,0.9166666666666666,0.95,0.4333333333333333,0.3583333333333334,0.3583333333333334,0.775,0.725,0.3
CharacterTrajectories,0.9713351903435468,0.5788467966573817,0.6263351903435469,0.5129851439182915,0.3053166202414112,0.2367883008356546,0.2367883008356546,0.7808700092850511,0.7286441968430827,0.0976954503249767
Cricket,0.9722222222222224,0.638888888888889,0.2128148148148148,0.5557037037037037,0.2082592592592592,0.0971111111111111,0.0971111111111111,0.7499703703703703,0.8009222222222222,0.0834444444444444
Epilepsy,0.901358024691358,0.741962962962963,0.2937901234567901,0.7420987654320989,0.283962962962963,0.1865061728395061,0.1865061728395061,0.6998888888888889,0.6740666666666666,0.1260740740740741
ERing,0.9205314009661836,0.8720434782608696,0.7777439613526571,0.8453913043478262,0.3308888888888888,0.33087922705314,0.33087922705314,0.7705106280193238,0.7366951690821256,0.2633961352657004
FaceDetection,0.5875785092697692,0.5754842981460461,0.5553859250851305,0.5536923950056755,0.0,0.0,0.0,0.5448129776768823,0.5479543321982595,0.0
FingerMovements,0.5866666666666666,0.5133333333333333,0.5033333333333333,0.5666666666666668,0.0,0.0,0.0,0.5366666666666666,0.5499999999999999,0.0033333333333333
HandMovementDirection,0.7608536585365853,0.7268048780487805,0.7446910569105691,0.751178861788618,0.3577642276422764,0.3300081300813008,0.3300081300813008,0.7316934959349594,0.72680081300813,0.4324796747967479
Heartbeat,0.9594954954954954,0.8332792792792794,0.6694504504504505,0.7576486486486486,0.0909729729729729,0.0243513513513513,0.0243513513513513,0.6017936936936937,0.6540306306306306,0.0278918918918918
JapaneseVowels,0.6138286023249527,0.4560984049743173,0.3341449040281157,0.4071859962151933,0.2048934847256015,0.1127721005677209,0.1127721005677209,0.294106407137064,0.2590978102189781,0.1766493646931603
Libras,0.8482222222222222,0.5184444444444445,0.3535925925925926,0.487037037037037,0.2202592592592592,0.1964074074074074,0.1964074074074074,0.4722111111111111,0.3981481481481481,0.1222222222222221
LSST,0.6066666666666666,0.5466666666666666,0.53,0.41,0.0033333333333333,0.6066666666666666,0.6066666666666666,0.54,0.54,0.01
MotorImagery,0.9204074074074072,0.8109999999999999,0.6464074074074073,0.5148518518518518,0.0501481481481481,0.0591851851851851,0.0591851851851851,0.3629444444444444,0.3518444444444444,0.0129629629629629
NATOPS,0.8534335260115608,0.7994585741811177,0.6724200385356455,0.2525317919075144,0.0366088631984585,0.0346820809248554,0.0346820809248554,0.4373566473988439,0.4007418111753371,0.0
PEMS-SF,0.9614593100819516,0.4759803697350867,0.4963259005145797,0.4626830569849438,0.2143329521631408,0.2211932532875928,0.2211932532875928,0.4723539355822375,0.3874502763483896,0.0871816275967218
PenDigits,0.835438596491228,0.6884912280701755,0.5549649122807018,0.5942105263157895,0.1865263157894736,0.1776140350877193,0.1776140350877193,0.6008701754385964,0.6008701754385964,0.0634912280701753
RacketSports,0.8122855517633675,0.7247349260523323,0.7200693970420934,0.9306530147895336,0.0943538111490329,0.0865858930602957,0.0865858930602957,0.711021843003413,0.7258052332195676,0.071745164960182
SelfRegulationSCP1,0.5554444444444444,0.5148518518518519,0.5297407407407407,0.4684814814814815,0.1388888888888888,0.0871851851851851,0.0871851851851851,0.509237037037037,0.5092407407407408,0.1406296296296295
SelfRegulationSCP2,0.8314166666666667,0.7374999999999999,0.5635416666666667,0.6581666666666667,0.0823749999999999,0.0696249999999999,0.0696249999999999,0.4791583333333333,0.4895833333333333,0.0293333333333333
UWaveGestureLibrary,0.4866486486486486,0.2972801801801801,0.2117018018018017,0.1981684684684684,0.009009009009009,0.0045045045045045,0.0045045045045045,0.3603432432432432,0.3738477477477477,0.0
