dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.7633333333333333,0.3699999999999999,0.1366666666666667,0.21,0.18,0.1533333333333333,0.1533333333333333,0.2266666666666666,0.22,0.1666666666666666
Adiac,0.6691278772378517,0.5677408354646207,0.1397885763000852,0.2514765558397271,0.1458857630008525,0.1319829497016197,0.1319829497016197,0.1834228473998294,0.1609948849104858,0.133699914748508
ArrowHead,0.7580476190476192,0.6439523809523809,0.4112857142857143,0.6114285714285715,0.2836666666666667,0.2477142857142856,0.2477142857142856,0.5067619047619047,0.3791904761904761,0.2094285714285714
Beef,0.711,0.6666666666666666,0.2,0.2554444444444444,0.1332222222222222,0.1332222222222222,0.1332222222222222,0.4888888888888889,0.2888888888888889,0.1332222222222222
BeetleFly,0.9166666666666666,0.7833333333333333,0.5,0.4333333333333333,0.25,0.25,0.25,0.6166666666666666,0.65,0.3166666666666667
BirdChicken,0.8666666666666667,0.8333333333333334,0.5,0.4666666666666666,0.3833333333333333,0.3833333333333333,0.3833333333333333,0.6166666666666667,0.6333333333333333,0.3833333333333333
BME,0.9844444444444445,0.9643333333333332,0.9133333333333332,0.6665555555555556,0.6577777777777778,0.5933333333333334,0.5933333333333334,0.7712222222222221,0.6223333333333333,0.5866666666666667
Car,0.8666666666666667,0.8056666666666666,0.3223333333333333,0.3386666666666666,0.2277777777777777,0.2056666666666666,0.2056666666666666,0.677888888888889,0.4998888888888889,0.161
CBF,0.9264444444444444,0.917,0.8106666666666668,0.8551481481481481,0.5711481481481481,0.5595185185185185,0.5595185185185185,0.7674814814814814,0.748925925925926,0.5163703703703704
Chinatown,0.9505733722060252,0.9008697764820214,0.517827016520894,0.9580991253644316,0.4014761904761905,0.3458474246841594,0.3458474246841594,0.3546122448979592,0.3022176870748299,0.3654110787172011
ChlorineConcentration,0.7282881944444445,0.6122743055555555,0.26475,0.5218298611111111,0.1601875,0.1357673611111111,0.1357673611111111,0.5147916666666666,0.4578263888888889,0.2310624999999999
Coffee,0.988095238095238,0.9403809523809524,0.737952380952381,0.3571428571428571,0.4165714285714286,0.238095238095238,0.238095238095238,0.5834285714285715,0.512,0.3215714285714285
Computers,0.6613333333333333,0.6186666666666666,0.652,0.6106666666666666,0.536,0.5466666666666667,0.6613333333333333,0.5986666666666667,0.6293333333333333,0.608
CricketX,0.6519743589743591,0.6163931623931624,0.4367179487179487,0.4955213675213675,0.223094017094017,0.2188632478632478,0.3741965811965812,0.3581196581196581,0.3292051282051282,0.1856153846153846
CricketY,0.6161880341880343,0.5707777777777778,0.4846068376068375,0.5104102564102564,0.2016239316239315,0.1744017094017093,0.6161880341880343,0.4291794871794872,0.4061111111111111,0.2017692307692307
CricketZ,0.6727948717948719,0.6256752136752137,0.4640170940170939,0.541111111111111,0.2349829059829059,0.2331709401709401,0.2331709401709401,0.4461794871794871,0.4101794871794872,0.2255384615384614
Crop,0.679329365079365,0.4463968253968253,0.4499206349206349,0.4167738095238095,0.3454801587301587,0.3230198412698413,0.3230198412698413,0.4238214285714285,0.3713730158730158,0.2824444444444444
DiatomSizeReduction,0.9399803921568628,0.8787886710239651,0.3726165577342048,0.6428082788671025,0.3268126361655773,0.2746753812636165,0.2746753812636165,0.5107843137254902,0.296313725490196,0.2841612200435729
DistalPhalanxOutlineAgeGroup,0.7482086330935251,0.6954220623501199,0.4339736211031175,0.7530599520383694,0.3526594724220623,0.3526594724220623,0.3526594724220623,0.7027458033573142,0.7074124700239808,0.3380671462829736
DistalPhalanxOutlineCorrect,0.765623188405797,0.7474202898550724,0.5422608695652174,0.8478405797101449,0.225695652173913,0.2161159420289854,0.2161159420289854,0.6378067632850243,0.4856086956521739,0.3006328502415458
DistalPhalanxTW,0.70989448441247,0.6378681055155876,0.3070407673860911,0.6674892086330936,0.3429856115107914,0.280515587529976,0.280515587529976,0.5442565947242206,0.6082757793764988,0.2565323741007194
