dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ArticularyWordRecognition,0.0223780646566627,0.0361432335760559,0.022194427061598,0.0801459317144068,0.0616774765300195,0.0366065163193254,0.0366065163193254,0.0257055981797307,0.0501479293173188,0.0503215585933033
BasicMotions,0.025,0.025,0.0144337567297406,0.025,0.0381881307912986,0.0144337567297406,0.0144337567297406,0.025,0.025,0.0499999999999999
CharacterTrajectories,0.0059792215880934,0.0702343761531342,0.011786556139353,0.0559087643419681,0.0107758628930706,0.0888454074403285,0.0888454074403285,0.0081119314020813,0.0046891169978908,0.1257171340770821
Cricket,0.0240562612162343,0.04451979723313,0.0974761973688856,0.1042437986036824,0.1291015008854049,0.0641179789632942,0.0641179789632942,0.0210223279302016,0.0138912590570221,0.0077621536191049
Epilepsy,0.0255205553772225,0.0184823316535235,0.0442286580521802,0.029254806960716,0.0110690234177677,0.0122666013714781,0.0122666013714781,0.0218406582484827,0.0232313024117941,0.0042566034050383
ERing,0.0248737093628363,0.0398357452880203,0.0673358085353633,0.0727651765549099,0.0218913745951318,0.0504805439982514,0.0504805439982514,0.0434006494128357,0.0343720465747077,0.0615860667797447
FaceDetection,0.0280810608074395,0.0222266018373003,0.0317404246489222,0.0471022030219881,0.0,0.0,0.0,0.0127969950133226,0.0160121976486698,0.0
FingerMovements,0.0288675134594813,0.0665832811847939,0.0503322295684716,0.0115470053837924,0.0,0.0,0.0,0.0299999999999999,0.0208166599946612,0.0115470053837925
HandMovementDirection,0.0236869650981041,0.0204212097974967,0.0232656554422089,0.0136082177008747,0.0156040613294493,0.0078020306647246,0.0078020306647246,0.041308061895945,0.0410843081947268,0.0075055534994651
Heartbeat,0.0210531041541875,0.0149666560453116,0.0580256991072984,0.0302584052560229,0.1438497636814313,0.1681760524341499,0.1681760524341499,0.0176692461797098,0.019792879540573,0.1319660962715037
JapaneseVowels,0.0281497266383266,0.0204893209192298,0.0159074891284745,0.009300648882589,0.1026736670667604,0.0529737750444886,0.0529737750444886,0.0330511700140669,0.0285621207316023,0.0268920050701588
Libras,0.0257883120238032,0.0210329938733343,0.0233082757870377,0.0371327836473267,0.0222144430828567,0.0500500161361246,0.0500500161361246,0.070728251757751,0.0613063883378299,0.0193366323281547
LSST,0.0297933596466947,0.0022154804960414,0.026292196000506,0.0249898158001815,0.0136652736159745,0.0593980639180541,0.0593980639180541,0.0689087076789067,0.0643330990271692,0.0221208533284545
MotorImagery,0.0251661147842358,0.06557438524302,0.0503322295684716,0.0305505046330389,0.0115470053837925,0.0251661147842358,0.0251661147842358,0.0305505046330389,0.0305505046330389,0.01
NATOPS,0.017033131597462,0.0110001870541522,0.0903674255743643,0.0161345933596312,0.151086612937922,0.1677483908529224,0.1677483908529224,0.2407097615395178,0.2547693946384542,0.102900407322617
PEMS-SF,0.0264713429781047,0.0261518036952153,0.0174658096513488,0.0581152218278218,0.0367802157036928,0.0460092224742583,0.0460092224742583,0.1345246941097223,0.1274351869174714,0.0305046407310256
PenDigits,0.0183903164511326,0.1836642883965756,0.163721230644482,0.1588109000515623,0.1311529682509671,0.1368508373742931,0.1368508373742931,0.1437973608535452,0.1739560888552748,0.1287250826425676
RacketSports,0.0236114867893274,0.0380444896776021,0.0229672173933248,0.0330928908908871,0.062521139545917,0.0462322911618677,0.0462322911618677,0.0228664879161934,0.0228664879161934,0.0672221479463073
SelfRegulationSCP1,0.0266541758021652,0.0238498410732362,0.0752873010256149,0.0469161073757047,0.113648990182221,0.1041277305154107,0.1041277305154107,0.015874176684613,0.0366906020922292,0.1383902444453237
SelfRegulationSCP2,0.0240249356058283,0.0410134475587999,0.0337931251683234,0.0399338959955414,0.0819365407362242,0.0679385161400265,0.0679385161400265,0.039534534572552,0.0276667410381269,0.0786774422416964
UWaveGestureLibrary,0.0275299079790204,0.0343504457758556,0.040102992407051,0.0451054897804395,0.0916807470246616,0.1085757464092848,0.1085757464092848,0.0318750816992417,0.0152515368078105,0.0874608245635343
