dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.023094010767585,0.0321455025366431,0.0519615242270663,0.0585946527708231,0.023094010767585,0.01,0.01,0.0763762615825973,0.0152752523165194,0.0404145188432738
Adiac,0.0146618763352427,0.0245475394746384,0.0064529572546569,0.0147409534731968,0.0155653513053294,0.0412960663574654,0.0412960663574654,0.0339969963778774,0.020366727419875,0.0176782881561389
ArrowHead,0.0200001700673041,0.0615714838139184,0.1150169759727005,0.0282217892373092,0.1491636776198831,0.1711125857638844,0.1711125857638844,0.1608878639360494,0.0713771719828693,0.18701451433359
Beef,0.0214303350244287,0.0712845108104242,0.051733290377989,0.0269430125621825,0.0340701889894637,0.071905287499393,0.071905287499393,0.1629338652473587,0.0233975307339138,0.0491407653055466
BeetleFly,0.0190525588832576,0.0507721854445405,3.399349888776296e-17,0.0386824680357049,0.0001924500897298,0.0001924500897298,0.0001924500897298,0.0962250448649375,0.07698003589195,0.0001924500897298
BirdChicken,0.0288675134594812,0.0499999999999999,0.0,0.05,0.0288675134594812,0.0288675134594812,0.0288675134594812,0.0288675134594813,0.0763762615825972,0.0866025403784438
BME,0.0288675134594813,0.0763762615825973,0.0,0.0763762615825973,0.15,0.15,0.15,0.0,0.0,0.1732050807568877
Car,0.0256018903623043,0.0463747927130348,0.1869557285681411,0.0716203985012753,0.1876452633454068,0.1930982393528026,0.1930982393528026,0.0404946777989546,0.087414602654257,0.2318957123346116
CBF,0.0288675134594813,0.0500003703689986,0.1155663990638827,0.1606584829635465,0.1170471573214704,0.1333333333333333,0.1333333333333333,0.1336663895813143,0.0672064260595942,0.11083036754595
Chinatown,0.0256504323013504,0.1459699822889754,0.2131780628990064,0.0285250538936352,0.1822448724938686,0.1132440460177473,0.1132440460177473,0.0245865298207255,0.0067481478914279,0.081466196543539
ChlorineConcentration,0.0248736746168868,0.0284154523811917,0.0004848321468798,0.0709655791629006,0.0238423741168972,0.0234916619553323,0.0234916619553323,0.083267799970117,0.1140115358936993,0.0978040744137628
Coffee,0.0206196524710579,0.1030982623552903,0.223081449998276,0.109233694435371,0.1236355187500689,0.0357146666646349,0.0357146666646349,0.0545858868904687,0.0413220304932082,0.1687539568697092
Computers,0.019731531449265,0.0529150262212918,0.060398675482166,0.05499090833947,0.1021632680239494,0.0948542741964394,0.019731531449265,0.0725901738070197,0.0442417600614321,0.0637913264741636
CricketX,0.0235449267697809,0.037783252687548,0.027610376582459,0.0154075043406313,0.0096851146826886,0.0064409691597501,0.0064409691597501,0.0456045181947149,0.0134567024280351,0.0103214709965568
CricketY,0.025849731810411,0.0233589649769653,0.0605880688882423,0.0176150673654857,0.0145651859474262,0.0167751172396666,0.025849731810411,0.0541891173824709,0.0416568535452865,0.051666229770586
CricketZ,0.0264396525473474,0.0153902838560089,0.0435060156150442,0.0392316183361548,0.0285718352558639,0.0190289639321808,0.0190289639321808,0.0461125670104355,0.0361971493108727,0.0607620627601995
Crop,0.0260653133003461,0.0313413630433484,0.0280908449282514,0.0247822861404917,0.0179511230665371,0.0410372879727354,0.0410194293555637,0.0458232059518286,0.0254073725618936,0.0407664806297125
DiatomSizeReduction,0.0239076060183498,0.0570420512050428,0.1088376775430782,0.2034108657538225,0.0614778876088305,0.1084250221717899,0.1084250221717899,0.0292307041280501,0.0754159667685162,0.1197403794422121
DistalPhalanxOutlineAgeGroup,0.0249340551506858,0.0431295014030474,0.0083487341084255,0.0181089302289283,0.1330433670474086,0.137079080117861,0.137079080117861,0.147280713295653,0.07302640519923,0.0911673457441949
DistalPhalanxOutlineCorrect,0.017739580367506,0.0317275352167998,0.1142565958631827,0.0274247795345957,0.1145675561305833,0.1098168658784522,0.1098168658784522,0.0181666902720537,0.0001924500897298,0.3962334367868533
DistalPhalanxTW,0.0220808529439472,0.0506392760956472,0.0109204778401685,0.1501045592482328,0.1032994407514824,0.1672763255223982,0.1672763255223982,0.288051392456449,0.1287215137847452,0.1210451858255496
Earthquakes,0.0288675134594813,0.0115470053837924,0.0624499799839839,0.0781024967590665,0.0929157324317756,0.1274100990241093,0.1274100990241093,0.1452583904633395,0.1594783161854091,0.1569500982265806
ECG200,0.0265583448093503,0.0228460584528552,0.1508893934426735,0.1753616838554222,0.0245032961585526,0.1028845691437799,0.0265583448093503,0.1100850400798524,0.040607120947008,0.0504315124556033
ECG5000,0.026480661010009,0.0123700633399287,0.0935920511089733,0.2822633392344416,0.0287887942391188,0.0404546900072722,0.0404546900072722,0.0162247055476434,0.0096446675570864,0.0886246454344659
ECGFiveDays,0.0112291081386377,0.0231288720727579,0.0584286779618019,0.023035998184572,0.0341448317826219,0.0460678937268417,0.0460678937268417,0.0166268570328494,0.0206683089171768,0.0913969338297666
ElectricDevices,0.0261407093744722,0.0179064862375967,0.0604284505074936,0.0376808332305786,0.0335863764963468,0.0389898091448035,0.0389898091448035,0.0403906541092173,0.0328263408880768,0.0198295421687334
FaceAll,0.027068759890012,0.0636872031770227,0.1417780220606091,0.104169778439335,0.0414085817971664,0.0374956647393504,0.027068759890012,0.0121465041422261,0.0140394093535711,0.0096900611027687
FaceFour,0.0227727423939948,0.0328302672282909,0.0740296084017076,0.0805798715714994,0.1214283563671498,0.1254950637247687,0.0227727423939948,0.0560985702739103,0.0427619137459682,0.0709295036663737
FacesUCR,0.0270826322000796,0.033815868882828,0.0447806494320196,0.0393612518844455,0.0556509332643269,0.0762377864271902,0.0762377864271902,0.0610700098535264,0.0243818074840397,0.0359065507763909
FiftyWords,0.0237741532145206,0.0615337517820962,0.0342622401325584,0.0077280410222319,0.0189578498900856,0.0172553134975777,0.0172553134975777,0.0254858643938735,0.0059283957443746,0.0384641762570085
Fish,0.02631067655307,0.0315413560719437,0.0611633810680334,0.0789957804780314,0.0432678731108592,0.023813475862483,0.023813475862483,0.0270299657346998,0.0088066919515361,0.0771604918115394
FreezerRegularTrain,0.0259806811607684,0.072128623440926,0.0821872909586174,0.1695197499534926,0.1426867120449311,0.1595804829630838,0.1595804829630838,0.1058071227507256,0.1324974088532545,0.1869141120890566
Fungi,0.0461907566752843,0.0346053536969342,0.0680071454127152,0.1230970071306678,0.0191011339028783,0.0083446772136572,0.0083446772136572,0.0216265305921195,0.0002048662245512,0.067891120929583
GunPoint,0.0237455680120235,0.0607253138742511,0.0788033248124435,0.1305820827666995,0.1162246478866307,0.1498521588012986,0.1498521588012986,0.1380721066649356,0.1151477077738213,0.112874034755798
GunPointAgeSpan,0.0238918811242745,0.0517724077449239,0.1450735677614088,0.0051961524227066,0.1130419445440461,0.1188300207845746,0.1188300207845746,0.0111000340910809,0.0017368238758337,0.1241200354810586
GunPointMaleVersusFemale,0.0159784855772925,0.183130006812957,0.1046103702031678,0.1375193355469765,0.0861351615890999,0.0076155249793107,0.0076155249793107,0.036483038438792,0.1230855788172359,0.1738924025059229
GunPointOldVersusYoung,0.0269430125621825,0.0900248936765907,0.0039487456986482,0.1238876432423675,0.1397220786392016,0.1058300524425836,0.1058300524425836,0.088623423038783,0.0539825074548331,0.1247812901454796
Ham,0.0254136452239273,0.0448418822826556,0.0190485912450306,0.0857142857142857,0.0495836710863322,0.064884623458105,0.0254136452239273,0.0165782005867307,0.005361109642475,0.0560211600234265
Herring,0.0272087799861245,0.0272798002192098,0.0001443375672973,0.0001443375672973,0.196808970408702,0.2047865250287072,0.2047865250287072,0.0001443375672973,0.0001443375672973,0.2904199904161787
InsectEPGRegularTrain,0.0001878127381701,0.110742082257171,0.2063320082292877,0.2062683021682405,0.2063320082292877,0.2062683021682405,0.0001878127381701,0.0001878127381701,0.2063320082292877,0.2063320082292877
InsectEPGSmallTrain,0.0533295429371943,0.0716517189497904,0.2061743316709732,0.2061743316709732,6.028557027681017e-05,0.2061743316709732,0.0533295429371943,6.028557027681017e-05,0.2061743316709732,0.2027155383946205
InsectWingbeatSound,0.0280160676079491,0.0418098187769566,0.0562073076735392,0.029450681114368,0.0503455312456815,0.062154736239072,0.0280160676079491,0.0422754569916237,0.1135224121517073,0.0267067064977177
ItalyPowerDemand,0.0262756760295258,0.0354989773118067,0.0157050696789701,0.0428101098278234,0.063908525032975,0.078936654140816,0.0262756760295258,0.0630441891924369,0.1079006850815758,0.0642671639876569
LargeKitchenAppliances,0.0240493320150554,0.0355110832985567,0.0376342043005207,0.0726064990459098,0.0040414518843273,0.0115486090231841,0.0115486090231841,0.0131543542995099,0.0001924500897298,0.0456301557208728
Lightning2,0.0252203404768946,0.0188917717929342,0.034099542854664,0.0412038193063729,0.049204920080943,0.0490082974837127,0.0490082974837127,0.0590847357781245,0.0164754778021054,0.0093701109261922
Lightning7,0.0210745310834325,0.0139252690066471,0.0932909352448649,0.0597675612780223,0.0411575496344495,0.0081461750310317,0.0210745310834325,0.1503335013605598,0.0285181671441034,0.0285773956542261
MedicalImages,0.0270067362753713,0.0202183601411177,0.0142696948831814,0.0303260825605919,0.0134598338900293,0.0081530262779202,0.0081530262779202,0.0364575924604844,0.0294714284851092,0.0460917728401252
MelbournePedestrian,0.0286062034399529,0.0635666361178488,0.0487910204301133,0.0473870943849753,0.0967727115003473,0.1219431442009518,0.1219431442009518,0.0636728695255434,0.0231564931687117,0.0613487994087149
MiddlePhalanxOutlineAgeGroup,0.0226283263555116,0.0187827411332765,0.0187226444437206,0.0298047703899839,0.1399045558891186,0.1140037373913802,0.1140037373913802,0.1265286778751915,0.1146940324883355,0.130432047560225
MiddlePhalanxOutlineCorrect,0.0258359285408498,0.0140079824524215,0.0018684595964287,0.0458277832818436,0.1161380432875653,0.1161380432875653,0.1161380432875653,0.0411493400061945,0.0480515582290672,0.1235349666909712
MiddlePhalanxTW,0.0222692246687427,0.0187151463882766,0.0073031060024766,0.0097491330433809,0.0459916449473018,0.0543541589892305,0.0543541589892305,0.1676458618225511,0.1928773146708693,0.0807518713880361
MoteStrain,0.0287088804781704,0.0673840754635618,0.0948544670341575,0.0837907216728949,0.1003274973401344,0.0820985312433645,0.0820985312433645,0.1464461916726724,0.0917384578525153,0.1518238884304999
OSULeaf,0.0285287376816923,0.0063647256768645,0.0193323456863513,0.0730307656122178,0.0344010862919231,0.0285481693585901,0.0285481693585901,0.0133828075465337,0.0723220894389376,0.016557859661568
PhalangesOutlinesCorrect,0.0261637022343789,0.0804186335541028,0.036444909873287,0.029125017018288,0.0355556600497809,0.0364580520987191,0.0364580520987191,0.0344538000913639,0.0208983990008571,0.0152137625764075
Plane,0.0239677283659388,0.0251078550253862,5.4985739922820025e-05,0.1055600906055267,0.0190496030712739,0.0275204040294482,0.0239677283659388,0.0328539796038858,0.0825061027541936,0.0884911737445482
PowerCons,0.0288675134594813,0.0320750149549792,0.0865017186251399,0.1310264007575314,0.0401258821679111,0.0085114302232024,0.0085114302232024,0.0892930626017866,0.1306441779589427,0.0232634756734999
ProximalPhalanxOutlineAgeGroup,0.0203499475395438,0.0243942923469338,0.0001548988527094,0.2608958806105072,0.1589816198905334,0.1250601473376384,0.1250601473376384,0.2767549131903801,0.2410215370472989,0.2011942378805504
ProximalPhalanxOutlineCorrect,0.0238911759402827,0.0022280561934706,0.0157904794664982,0.1120747776857512,0.0944452523171916,0.1032136871988323,0.1032136871988323,0.0079015946478097,0.0591644089460201,0.3058575926588791
ProximalPhalanxTW,0.0225537232905193,0.0563436824255943,0.0675499814951862,0.0536951261058146,0.0112164099634762,0.2221980241303332,0.2221980241303332,0.326981813993577,0.2214991917127624,0.0379120850748855
RefrigerationDevices,0.0259065271340669,0.0593473766152397,0.0935618234902185,0.0853595879749853,0.1545976857667812,0.165688797985192,0.165688797985192,0.0563376066755229,0.083819912776009,0.1080027434493799
ShapeletSim,0.0208422450075497,0.0194955940997039,0.0,0.0403818706011872,0.1243948975439886,0.1594893987472433,0.1594893987472433,0.0034641016151377,0.0161658075373095,0.1165237925862487
ShapesAll,0.024551533104427,0.0655972560401729,0.0335001381976143,0.0498631460432786,0.0238242018248795,0.020870855099698,0.024551533104427,0.0577930535361909,0.0157421350145021,0.0122489606512976
