dataset,origin_x,Random_x,Saliency_x,GuidedBackprop_x,GI_x,DeepLift_x,DeepLiftShap_x,attn_x,rollout_x,EXITT_x,origin_y,Random_y,Saliency_y,GuidedBackprop_y,GI_y,DeepLift_y,DeepLiftShap_y,attn_y,rollout_y,EXITT_y,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
ACSF1,0.79,0.17,0.1,0.13,0.13,0.13,0.13,0.15,0.11,0.11,0.75,0.23,0.19,0.24,0.13,0.11,0.11,0.25,0.12,0.18,0.75,0.22,0.1,0.15,0.17,0.12,0.12,0.1,0.14,0.11
Adiac,0.657,0.414,0.046,0.174,0.11,0.138,0.138,0.066,0.059,0.043,0.6649616368286445,0.4066496163682864,0.0588235294117647,0.1739130434782608,0.0818414322250639,0.0562659846547314,0.0562659846547314,0.0869565217391304,0.0511508951406649,0.0690537084398976,0.6854219948849105,0.3682864450127877,0.0511508951406649,0.1994884910485933,0.1074168797953964,0.1074168797953964,0.1074168797953964,0.0204603580562659,0.0204603580562659,0.0767263427109974
ArrowHead,0.777,0.526,0.389,0.577,0.257,0.189,0.189,0.343,0.457,0.017,0.76,0.5085714285714286,0.5257142857142857,0.5714285714285714,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.5885714285714285,0.3885714285714285,0.3885714285714285,0.7371428571428571,0.6228571428571429,0.2971428571428571,0.6228571428571429,0.1314285714285714,0.0971428571428571,0.0971428571428571,0.2857142857142857,0.3142857142857143,0.1657142857142857
BME,1.0,0.98,0.753,0.62,0.587,0.52,0.52,0.473,0.493,0.5,0.96,0.86,0.68,0.64,0.6066666666666667,0.5,0.5,0.5533333333333333,0.5133333333333333,0.52,0.9933333333333332,0.9866666666666668,0.78,0.6733333333333333,0.6533333333333333,0.6333333333333333,0.6333333333333333,0.7866666666666666,0.4666666666666667,0.4266666666666667
Beef,0.733,0.633,0.2,0.233,0.133,0.133,0.133,0.2,0.2,0.133,0.7,0.5333333333333333,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.2,0.2,0.1333333333333333,0.7,0.6,0.2,0.3,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.3666666666666666,0.3333333333333333,0.1333333333333333
BeetleFly,0.95,0.7,0.5,0.4,0.25,0.2,0.2,0.5,0.55,0.25,0.9,0.75,0.5,0.45,0.2,0.2,0.2,0.55,0.7,0.4,0.9,0.65,0.5,0.35,0.25,0.25,0.25,0.5,0.6,0.25
BirdChicken,0.9,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.85,0.75,0.5,0.35,0.35,0.35,0.35,0.5,0.5,0.2,0.85,0.65,0.5,0.45,0.2,0.2,0.2,0.5,0.5,0.2
CBF,0.956,0.839,0.718,0.698,0.621,0.602,0.602,0.614,0.617,0.566,0.9122222222222224,0.83,0.5133333333333333,0.6766666666666666,0.2511111111111111,0.2488888888888888,0.2488888888888888,0.5922222222222222,0.4588888888888889,0.2522222222222222,0.9111111111111112,0.9144444444444444,0.8866666666666667,0.81,0.3811111111111111,0.29,0.29,0.5355555555555556,0.4733333333333333,0.1133333333333333
Car,0.9,0.617,0.233,0.267,0.167,0.15,0.15,0.383,0.167,0.233,0.85,0.6666666666666666,0.4333333333333333,0.5166666666666667,0.3,0.2833333333333333,0.2833333333333333,0.5,0.3,0.1666666666666666,0.85,0.5666666666666667,0.2333333333333333,0.2166666666666666,0.0666666666666666,0.0166666666666666,0.0166666666666666,0.2333333333333333,0.2166666666666666,0.0166666666666666
Chinatown,0.98,0.939,0.662,0.988,0.376,0.166,0.166,0.233,0.274,0.181,0.9387755102040816,0.8017492711370262,0.314868804664723,0.932944606413994,0.0145772594752186,0.0145772594752186,0.0145772594752186,0.2769679300291545,0.2857142857142857,0.075801749271137,0.932944606413994,0.6472303206997084,0.2740524781341107,0.9475218658892128,0.2361516034985422,0.2361516034985422,0.2361516034985422,0.2740524781341107,0.2740524781341107,0.2361516034985422
ChlorineConcentration,0.757,0.447,0.233,0.573,0.133,0.105,0.105,0.474,0.529,0.171,0.7145833333333333,0.5036458333333333,0.2325520833333333,0.43125,0.1802083333333333,0.1518229166666666,0.1518229166666666,0.3322916666666666,0.3036458333333333,0.3372395833333333,0.71328125,0.4713541666666667,0.23203125,0.5083333333333333,0.15078125,0.1317708333333333,0.1317708333333333,0.47890625,0.3861979166666666,0.16484375
Coffee,1.0,1.0,0.786,0.536,0.464,0.214,0.214,0.536,0.536,0.357,0.9642857142857144,0.8214285714285714,0.4642857142857143,0.4642857142857143,0.25,0.25,0.25,0.4642857142857143,0.4642857142857143,0.1071428571428571,1.0,1.0,0.8928571428571429,0.3214285714285714,0.4642857142857143,0.1785714285714285,0.1785714285714285,0.5714285714285714,0.5357142857142857,0.4285714285714285
Computers,0.684,0.576,0.604,0.6,0.392,0.388,0.684,0.564,0.596,0.572,0.648,0.556,0.556,0.528,0.44,0.44,0.648,0.508,0.544,0.456,0.652,0.656,0.676,0.636,0.588,0.572,0.652,0.652,0.632,0.56
CricketX,0.679,0.551,0.305,0.364,0.164,0.141,0.141,0.2,0.131,0.123,0.6358974358974359,0.4897435897435897,0.2974358974358974,0.3333333333333333,0.1666666666666666,0.1282051282051282,0.1282051282051282,0.1102564102564102,0.1076923076923077,0.1102564102564102,0.6410256410256411,0.482051282051282,0.2538461538461538,0.3512820512820512,0.1487179487179487,0.1358974358974359,0.1358974358974359,0.141025641025641,0.1076923076923077,0.1025641025641025
CricketY,0.646,0.521,0.431,0.444,0.136,0.113,0.646,0.267,0.192,0.133,0.6,0.5,0.3794871794871794,0.4358974358974359,0.1282051282051282,0.0794871794871794,0.6,0.2358974358974359,0.1384615384615384,0.0538461538461538,0.6025641025641025,0.4743589743589743,0.3102564102564102,0.4102564102564102,0.1564102564102564,0.0948717948717948,0.6025641025641025,0.1615384615384615,0.2205128205128205,0.0358974358974358
CricketZ,0.703,0.574,0.415,0.482,0.182,0.167,0.167,0.251,0.226,0.185,0.6538461538461539,0.5487179487179488,0.3769230769230769,0.4666666666666667,0.1717948717948718,0.1589743589743589,0.1589743589743589,0.1769230769230769,0.182051282051282,0.1666666666666666,0.6615384615384615,0.5461538461538461,0.3282051282051282,0.4076923076923077,0.1282051282051282,0.1307692307692307,0.1307692307692307,0.2615384615384615,0.2538461538461538,0.0717948717948717
Crop,0.709,0.355,0.31,0.31,0.244,0.236,0.236,0.266,0.199,0.16,0.6601190476190476,0.3230357142857142,0.2857738095238095,0.2693452380952381,0.2141666666666666,0.1658928571428571,0.1658928571428571,0.2382738095238095,0.2058333333333333,0.1333333333333333,0.6688690476190476,0.2923214285714285,0.2539880952380952,0.2651190476190476,0.2117857142857143,0.1639880952380952,0.164047619047619,0.1764880952380952,0.1588095238095238,0.0799404761904761
DiatomSizeReduction,0.967,0.716,0.314,0.529,0.17,0.039,0.039,0.307,0.307,0.314,0.931372549019608,0.8300653594771242,0.3464052287581699,0.8464052287581699,0.2810457516339869,0.0947712418300653,0.0947712418300653,0.3039215686274509,0.3071895424836601,0.1209150326797385,0.9215686274509804,0.7712418300653595,0.1437908496732026,0.4673202614379085,0.2712418300653594,0.2483660130718954,0.2483660130718954,0.2549019607843137,0.1764705882352941,0.0947712418300653
DistalPhalanxOutlineAgeGroup,0.777,0.59,0.41,0.741,0.144,0.137,0.137,0.468,0.662,0.209,0.7338129496402878,0.6762589928057554,0.4244604316546763,0.762589928057554,0.381294964028777,0.381294964028777,0.381294964028777,0.7266187050359713,0.5683453237410072,0.3669064748201439,0.7338129496402878,0.6330935251798561,0.4244604316546763,0.7769784172661871,0.3669064748201439,0.3669064748201439,0.3669064748201439,0.7194244604316546,0.7122302158273381,0.3669064748201439
